brand,product,name,capacity,price,question
키위코퍼레이션,두피마사지기,전동 두피마사지기,,49100,
홈케어,두피마사지기,전동 충전식 두피안마기 81086-8,,23900,
에이블미,두피마사지기,무선 두피 마사지기,,37800,
한일의료기,두피마사지기,충전식 무선 미니 방수 두피 스켈링 마사지기,,117400,
더슈,두피마시지기,다슈 데일리 스칼프 스켈일링 브러쉬,,15000,
루이스벨라,두피마시지기,두피각질케어 전동탈모 루이스벨라,,78000,
keka,두피마사지기,머리 안마기 건습양용,,58900,
ANKRIC,두피마사지기,전동 두피마사지기,,56800,
오아,두피마사지기,스칼프빔 두피관리기,,69000,
마리아띠,두피마사지기,"두피마사지기, SO-405",,80640,
뷰리셀,두피마사지기,두피마사지 브러쉬,,9300,
브레오,두피마사지기,"손지압 두피마사직, SCALP2",,180000,
에디쁘,두피마사지기,두피 괄사 마사지기,,14000,
CALA,두피마사지기,헤드마사지기,,5260,
keka,두피마사지기,머리 지압 안마기 휴대용 미니,,27900,
제스파,두피마사지기,브레인 두피 마사지기 A380,,49000,
더줌커머스,두피마사지기,머르가즘 휴대용 간편 마사지기,,8700,
한일의료기,두피마사지기,HL-HE2000,,97400,
마리아띠,두피마사지기,전동 두피마사지기 So-805,,145000,
Smabat,두피마사지기,전동 두피 마사지기,,45900,
더마퀸,두피마사지기,두피 쿨링스틱,,27500,
마리아띠,두피마사지기,쿨그린 두피마사지기 SO-801,,250000,
두피쿨,두피마사지기,두피마사지기,,28600,
미빌,두피마사지기,탈모는그만 휴대용 두피마사지 브러쉬,,9900,
미프,헤어토닉,아미노 헤어프로텍터 150ml,150,50000,
테라픽,헤어토닉,프리미엄 토탈 헤어토닉,,90000,
리우젤,헤어토닉,그루밍 토닉 헤어에센스,,30520,
나드,헤어토닉,탈모증상완화 헤어토닉 200ml,200,36000,
나드,헤어토닉,블랙시드 탈모케어 헤어토닉,,15000,
닥터방기원,헤어토닉,랩 헤어토닉 150ml,150,23800,
에브리톡톡,헤어토닉,헤어토닉 베르가못향 240ml,240,33750,
닥터포헤어,헤어토닉,폴리젠 헤어토닉,,19000,
아로마티카,헤어토닉,액티브 브이 안티 헤어로스 토닉,,22000,
달리프,해어토닉,달리프 클로렐라 베러 루트 헤어 토닉,,17100,
메디슈어,헤어토닉,메디슈어 헤어토닉,,9900,
시세이도,헤어토닉,지성용 뷰티 스파 헤어토닉,,128000,
클럽맨피노드,헤어토닉,그리즐리스 헤어토닉,,25000,
려,헤어토닉,탈모증상전문케어 두피 헤어토닉,,20000,
플로랜드,클리닉용품,프리미엄 케라틴 체인지 헤어앰플,,12600,
비에티,클리닉용품,영양 앰플 대용량 부들부들 헤어엠플 1040ml,1040,50000,
미쟝센,클리닉용품,살롱 플러스 클리닉 에센스990ml,990,21900,
