닥터그루트,샴푸,닥터그루트 애딕트 릴리드 모헬리 샴푸 385ml,385,17460,녹차추출물,글리세린 콩추출물 캐모마일꽃수 판테놀,지성탈모민감성,수렴 및 진정비듬 제거,보습력 증가탈모 억제 효과습윤컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/aea4/1e6c66f668dd9df68c6b3c3e69dc77c5e48df287a5609a723c05bdd032ef.jpg
닥터그루트,샴푸,닥터그루트 더마솔루션 대용량 샴푸 870ml,870,78755,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/b2fc/055c206a8e7cb84d85612386026b1e47df2323ed2a36f82769aada8f4726.png
닥터그루트,샴푸,닥터그루트 제이몬스터즈 샴푸 로지머스크 400g,400,21980,살리실산 멘톨,글리세린 부틸렌글라이콜 콩추출물 캐모마일꽃수 판테놀,지성쿨링효과탈모민감성,피지 조절수렴 및 진정쿨링 효과,보습력 증가강력보습탈모 억제 효과습윤컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/46ad/1b95a23a325c7d3f0f9aa9b40b7481c23fe4aa822c67a023fce00f101fa5.jpg
닥터그루트,샴푸,닥터그루트 제이몬스터즈 샴푸 시트러스 400g,400,20250,살리실산 멘톨,글리세린 부틸렌글라이콜 콩추출물 캐모마일꽃수 판테놀,지성쿨링효과탈모민감성,피지 조절수렴 및 진정쿨링 효과,보습력 증가강력보습탈모 억제 효과습윤컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/19bd/a556f5a9c5f8d4c37ed5c465cfb217ba62fd80aea27c4a82657503ba31e0.jpg
닥터그루트,샴푸,닥터그루트 애딕트 피오니 샴푸 680ml,680,33080,녹차추출물,글리세린 소디움PCA,탈모,수렴 및 진정비듬 제거,보습력 증가강력보습,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/b293/a5df2a8446d1a115685d6acb47573397884cb26dea21d6c77119e3bcf6fa.jpg
닥터그루트,샴푸,닥터그루트 애딕트 페어프리지아 샴푸 680ml,680,32310,살리실산 녹차추출물 멘톨,글리세린 부틸렌글라이콜 소디움PCA 콩추출물 캐모마일꽃수 판테놀,지성쿨링효과탈모민감성,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습탈모 억제 효과습윤컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/2597/18e4d3a3393631e1eebdfb4b3977b3ded8a3676d10828b56bf14f799e620.jpg
려,샴푸,려 자양윤모 모발채움 샴푸 힘없는 모발용 400ml,400,23850,살리실산 멘톨,글리세린 부틸렌글라이콜 콩추출물 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정쿨링 효과,보습력 증가강력보습탈모 억제 효과컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/1237328552462642-5475605f-6191-4d71-bdce-86a2ad33889d.jpg
려,샴푸,려 강화 약쑥 샴푸 800ml,800,8310,멘톨,글리세린,쿨링효과탈모약산성,수렴 및 진정쿨링 효과,보습력 증가,https://thumbnail6.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/2021/04/05/17/1/eec12b83-13ec-456f-a407-e5d8aad8de82.jpg
려,샴푸,려 생발효 인삼 샴푸 400ml,400,22020,살리실산 멘톨,부틸렌글라이콜 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정쿨링 효과,강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/d335/0a1501124512175d7468584df51bd1cad6da266cfe867b5ae8dfca89c49e.jpg
라보에이치,샴푸,라보에이치 프로바이오틱스 두피강화 샴푸 400ml,400,12800,녹차추출물 멘톨,글리세린 비타민E 캐모마일꽃오일,지성쿨링효과탈모민감성,수렴 및 진정비듬 제거쿨링 효과,보습력 증가부드러운 모발습윤예민현상 진정,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/7956359247348939-d8add2f6-3d04-4b26-b96c-0c4c9478fbb6.png
라보에이치,샴푸,라보에이치 더프리미엄9 337ml,337,14630,멘톨 알란토인,글리세린 부틸렌글라이콜 아보카도오일 콩추출물 캐모마일꽃오일,쿨링효과탈모민감성,수렴 및 진정쿨링 효과,보습력 증가강력보습수분 증발 방지탈모 억제 효과습윤예민현상 진정,https://shopping-phinf.pstatic.net/main_2798594/27985943523.20220122214904.jpg?type=f640
닥터포헤어,샴푸,닥터포헤어 폴리젠 샴푸 500ml,500,13740,살리실산 멘톨,글리세린 비타민E 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정쿨링 효과,보습력 증가부드러운 모발컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail10.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/b4a1/bfc2cdfeea3d857743df73a303b1271e12af9899019968532726e227dad1.jpeg
닥터포헤어,샴푸,닥터포헤어 폴리젠 바이오-3 샴푸 500ml,500,10550,살리실산 녹차추출물 캠퍼 멘톨,글리세린 프로필렌글라이콜 부틸렌글라이콜 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정비듬 제거쿨링 효과,보습력 증가강력보습컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/4b5b/8801431135188ca5f2a5fa41c146a5d8fa62400d00b2b4fd28604aadecb0.png
닥터포헤어,샴푸,닥터포헤어 폴리젠 플러스 샴푸 500ml,500,13800,살리실산 멘톨,글리세린 판테놀,지성쿨링효과탈모,피지 조절수렴 및 진정쿨링 효과,보습력 증가컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail9.coupangcdn.com/thumbnails/remote/492x492ex/image/retail/images/2958369775481239-9130e5ea-fa4b-41bd-95be-c135317abbf8.png
닥터포헤어,샴푸,닥터포헤어 폴리젠 탈모 완화 샴푸 500ml,500,12620,살리실산 멘톨,글리세린 비타민E 판테놀,지성쿨링효과탈모탈모,피지 조절수렴 및 진정쿨링 효과,보습력 증가부드러운 모발컨디셔닝피부 보습효과탈모량 감소모발 두께 증가,https://thumbnail7.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/f0f9/c50db5929174577df7d024b40d4517319b0761b046edc106fda056e2e7f0.jpg
